2022-07-30 09:18:11,864 - utils - INFO - epoch: 0, step: 2000, eta: 00:09:54, gen loss: 6.69383430480957, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:20:03,097 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:02, gen loss: 6.994935989379883, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:21:54,205 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:11, gen loss: 6.128406524658203, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:23:45,404 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:19, gen loss: 7.839337348937988, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:25:36,480 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:28, gen loss: 5.9457292556762695, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:27:27,633 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:36, gen loss: 6.5251078605651855, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:48:41,776 - utils - INFO - epoch: 0, loss: 1.5496464967727661, mae: 9.757014629825782, ssim: 0.9391694801414238, psnr: 25.752542085353767
2022-07-30 09:48:49,517 - utils - INFO - epoch: 1, step: 0, eta: 03:18:27, gen loss: 5.935940742492676, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:50:39,953 - utils - INFO - epoch: 1, step: 100, eta: 00:46:41, gen loss: 4.947269439697266, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:52:30,491 - utils - INFO - epoch: 1, step: 200, eta: 00:43:52, gen loss: 6.539177894592285, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:54:21,008 - utils - INFO - epoch: 1, step: 300, eta: 00:41:42, gen loss: 4.905550479888916, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:56:11,907 - utils - INFO - epoch: 1, step: 400, eta: 00:39:44, gen loss: 5.330612659454346, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:58:02,984 - utils - INFO - epoch: 1, step: 500, eta: 00:37:49, gen loss: 5.99760103225708, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:59:54,209 - utils - INFO - epoch: 1, step: 600, eta: 00:35:56, gen loss: 5.170299530029297, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:01:45,502 - utils - INFO - epoch: 1, step: 700, eta: 00:34:04, gen loss: 5.069096565246582, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:03:36,715 - utils - INFO - epoch: 1, step: 800, eta: 00:32:12, gen loss: 4.894685745239258, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:05:27,991 - utils - INFO - epoch: 1, step: 900, eta: 00:30:20, gen loss: 4.835058212280273, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:07:19,237 - utils - INFO - epoch: 1, step: 1000, eta: 00:28:28, gen loss: 4.780980587005615, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:09:10,600 - utils - INFO - epoch: 1, step: 1100, eta: 00:26:36, gen loss: 5.495825290679932, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:11:02,033 - utils - INFO - epoch: 1, step: 1200, eta: 00:24:45, gen loss: 6.124143123626709, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:12:53,219 - utils - INFO - epoch: 1, step: 1300, eta: 00:22:53, gen loss: 4.616406440734863, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:14:44,491 - utils - INFO - epoch: 1, step: 1400, eta: 00:21:02, gen loss: 5.569863319396973, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:16:35,624 - utils - INFO - epoch: 1, step: 1500, eta: 00:19:10, gen loss: 3.968679428100586, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:18:26,929 - utils - INFO - epoch: 1, step: 1600, eta: 00:17:19, gen loss: 4.810726642608643, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:20:18,115 - utils - INFO - epoch: 1, step: 1700, eta: 00:15:27, gen loss: 4.380300998687744, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:22:09,241 - utils - INFO - epoch: 1, step: 1800, eta: 00:13:36, gen loss: 4.732471466064453, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:24:00,647 - utils - INFO - epoch: 1, step: 1900, eta: 00:11:44, gen loss: 4.787351608276367, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:25:52,005 - utils - INFO - epoch: 1, step: 2000, eta: 00:09:53, gen loss: 4.527730941772461, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:27:43,316 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:02, gen loss: 4.540717601776123, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:29:34,595 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:10, gen loss: 4.173341751098633, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:31:25,913 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:19, gen loss: 4.081377983093262, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:33:17,362 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:28, gen loss: 4.662544250488281, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:35:08,635 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:36, gen loss: 4.080852031707764, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:56:39,794 - utils - INFO - epoch: 1, loss: 1.0788229703903198, mae: 7.745564632401759, ssim: 0.9561947614094878, psnr: 27.25704323739053
2022-07-30 10:56:47,923 - utils - INFO - epoch: 2, step: 0, eta: 03:26:47, gen loss: 4.102563858032227, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:58:38,437 - utils - INFO - epoch: 2, step: 100, eta: 00:46:48, gen loss: 4.298367500305176, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:00:28,949 - utils - INFO - epoch: 2, step: 200, eta: 00:43:55, gen loss: 3.7572245597839355, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:02:19,597 - utils - INFO - epoch: 2, step: 300, eta: 00:41:45, gen loss: 3.996540069580078, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:04:10,232 - utils - INFO - epoch: 2, step: 400, eta: 00:39:44, gen loss: 3.798147201538086, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:06:01,065 - utils - INFO - epoch: 2, step: 500, eta: 00:37:48, gen loss: 3.9080440998077393, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:07:52,065 - utils - INFO - epoch: 2, step: 600, eta: 00:35:55, gen loss: 4.249341011047363, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:09:43,204 - utils - INFO - epoch: 2, step: 700, eta: 00:34:02, gen loss: 3.782341957092285, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 11:11:34,411 - utils - INFO - epoch: 2, step: 800, eta: 00:32:10, gen loss: 3.5556602478027344, mae loss: 0, adv_loss: 0, dis loss: 0
