2022-07-11 09:16:42,648 - utils - INFO - epoch: 0, step: 0, eta: 00:56:00, gen loss: 18.04030990600586, adv_loss: 0, dis loss: 0
2022-07-11 09:17:51,592 - utils - INFO - epoch: 0, step: 50, eta: 00:29:02, gen loss: 7.838235378265381, adv_loss: 0, dis loss: 0
2022-07-11 09:19:00,324 - utils - INFO - epoch: 0, step: 100, eta: 00:27:17, gen loss: 6.684061527252197, adv_loss: 0, dis loss: 0
2022-07-11 09:20:10,890 - utils - INFO - epoch: 0, step: 150, eta: 00:26:10, gen loss: 5.16308069229126, adv_loss: 0, dis loss: 0
2022-07-11 09:21:21,612 - utils - INFO - epoch: 0, step: 200, eta: 00:25:02, gen loss: 4.169544696807861, adv_loss: 0, dis loss: 0
2022-07-11 09:22:32,413 - utils - INFO - epoch: 0, step: 250, eta: 00:23:53, gen loss: 3.5455944538116455, adv_loss: 0, dis loss: 0
2022-07-11 09:23:43,543 - utils - INFO - epoch: 0, step: 300, eta: 00:22:45, gen loss: 3.1412649154663086, adv_loss: 0, dis loss: 0
2022-07-11 09:24:54,509 - utils - INFO - epoch: 0, step: 350, eta: 00:21:35, gen loss: 2.799428701400757, adv_loss: 0, dis loss: 0
2022-07-11 09:26:05,523 - utils - INFO - epoch: 0, step: 400, eta: 00:20:25, gen loss: 2.7411491870880127, adv_loss: 0, dis loss: 0
2022-07-11 09:27:16,095 - utils - INFO - epoch: 0, step: 450, eta: 00:19:14, gen loss: 2.4216222763061523, adv_loss: 0, dis loss: 0
2022-07-11 09:28:27,059 - utils - INFO - epoch: 0, step: 500, eta: 00:18:04, gen loss: 2.498939037322998, adv_loss: 0, dis loss: 0
2022-07-11 09:29:38,915 - utils - INFO - epoch: 0, step: 550, eta: 00:16:55, gen loss: 2.335285186767578, adv_loss: 0, dis loss: 0
2022-07-11 09:30:50,682 - utils - INFO - epoch: 0, step: 600, eta: 00:15:45, gen loss: 2.3033533096313477, adv_loss: 0, dis loss: 0
2022-07-11 09:32:02,526 - utils - INFO - epoch: 0, step: 650, eta: 00:14:35, gen loss: 2.0401008129119873, adv_loss: 0, dis loss: 0
2022-07-11 09:33:14,276 - utils - INFO - epoch: 0, step: 700, eta: 00:13:25, gen loss: 2.0567898750305176, adv_loss: 0, dis loss: 0
2022-07-11 09:34:25,718 - utils - INFO - epoch: 0, step: 750, eta: 00:12:14, gen loss: 2.26597261428833, adv_loss: 0, dis loss: 0
2022-07-11 09:35:36,845 - utils - INFO - epoch: 0, step: 800, eta: 00:11:03, gen loss: 1.9824482202529907, adv_loss: 0, dis loss: 0
2022-07-11 09:36:47,669 - utils - INFO - epoch: 0, step: 850, eta: 00:09:52, gen loss: 1.9905588626861572, adv_loss: 0, dis loss: 0
2022-07-11 09:37:58,957 - utils - INFO - epoch: 0, step: 900, eta: 00:08:41, gen loss: 1.8174644708633423, adv_loss: 0, dis loss: 0
2022-07-11 09:39:08,557 - utils - INFO - epoch: 0, step: 950, eta: 00:07:29, gen loss: 1.7431050539016724, adv_loss: 0, dis loss: 0
2022-07-11 09:40:18,921 - utils - INFO - epoch: 0, step: 1000, eta: 00:06:18, gen loss: 1.8967876434326172, adv_loss: 0, dis loss: 0
2022-07-11 09:41:29,422 - utils - INFO - epoch: 0, step: 1050, eta: 00:05:07, gen loss: 1.9388980865478516, adv_loss: 0, dis loss: 0
2022-07-11 09:42:39,597 - utils - INFO - epoch: 0, step: 1100, eta: 00:03:56, gen loss: 1.8792723417282104, adv_loss: 0, dis loss: 0
2022-07-11 09:43:50,203 - utils - INFO - epoch: 0, step: 1150, eta: 00:02:45, gen loss: 1.7554113864898682, adv_loss: 0, dis loss: 0
2022-07-11 09:45:00,788 - utils - INFO - epoch: 0, step: 1200, eta: 00:01:34, gen loss: 1.6549386978149414, adv_loss: 0, dis loss: 0
2022-07-11 09:46:11,330 - utils - INFO - epoch: 0, step: 1250, eta: 00:00:24, gen loss: 1.7616618871688843, adv_loss: 0, dis loss: 0
2022-07-11 10:03:46,191 - utils - INFO - epoch: 0, loss: 1.565618634223938, mae: 15.551051124818523, ssim: 0.8658187882047237, psnr: 22.176401234862617
2022-07-11 10:03:48,200 - utils - INFO - epoch: 1, step: 0, eta: 00:29:38, gen loss: 1.5917316675186157, adv_loss: 0, dis loss: 0
2022-07-11 10:04:59,731 - utils - INFO - epoch: 1, step: 50, eta: 00:29:35, gen loss: 1.6516292095184326, adv_loss: 0, dis loss: 0
2022-07-11 10:06:13,187 - utils - INFO - epoch: 1, step: 100, eta: 00:28:28, gen loss: 1.7466951608657837, adv_loss: 0, dis loss: 0
2022-07-11 10:07:29,048 - utils - INFO - epoch: 1, step: 150, eta: 00:27:35, gen loss: 1.6429568529129028, adv_loss: 0, dis loss: 0
2022-07-11 10:08:44,391 - utils - INFO - epoch: 1, step: 200, eta: 00:26:27, gen loss: 1.4802939891815186, adv_loss: 0, dis loss: 0
2022-07-11 10:09:58,959 - utils - INFO - epoch: 1, step: 250, eta: 00:25:13, gen loss: 1.5313550233840942, adv_loss: 0, dis loss: 0
2022-07-11 10:11:13,438 - utils - INFO - epoch: 1, step: 300, eta: 00:23:59, gen loss: 1.5335084199905396, adv_loss: 0, dis loss: 0
2022-07-11 10:12:27,640 - utils - INFO - epoch: 1, step: 350, eta: 00:22:44, gen loss: 1.4798247814178467, adv_loss: 0, dis loss: 0
2022-07-11 10:13:43,792 - utils - INFO - epoch: 1, step: 400, eta: 00:21:33, gen loss: 1.5152033567428589, adv_loss: 0, dis loss: 0
2022-07-11 10:14:59,022 - utils - INFO - epoch: 1, step: 450, eta: 00:20:20, gen loss: 1.4329698085784912, adv_loss: 0, dis loss: 0
2022-07-11 10:16:13,579 - utils - INFO - epoch: 1, step: 500, eta: 00:19:05, gen loss: 1.3814566135406494, adv_loss: 0, dis loss: 0
2022-07-11 10:17:27,806 - utils - INFO - epoch: 1, step: 550, eta: 00:17:50, gen loss: 1.5314277410507202, adv_loss: 0, dis loss: 0
2022-07-11 10:18:41,958 - utils - INFO - epoch: 1, step: 600, eta: 00:16:35, gen loss: 1.4301642179489136, adv_loss: 0, dis loss: 0
2022-07-11 10:19:56,069 - utils - INFO - epoch: 1, step: 650, eta: 00:15:20, gen loss: 1.3390672206878662, adv_loss: 0, dis loss: 0
2022-07-11 10:21:10,112 - utils - INFO - epoch: 1, step: 700, eta: 00:14:05, gen loss: 1.3264763355255127, adv_loss: 0, dis loss: 0
2022-07-11 10:22:23,869 - utils - INFO - epoch: 1, step: 750, eta: 00:12:50, gen loss: 1.4370468854904175, adv_loss: 0, dis loss: 0
2022-07-11 10:23:37,854 - utils - INFO - epoch: 1, step: 800, eta: 00:11:35, gen loss: 1.3987085819244385, adv_loss: 0, dis loss: 0
2022-07-11 10:24:51,206 - utils - INFO - epoch: 1, step: 850, eta: 00:10:20, gen loss: 1.4459409713745117, adv_loss: 0, dis loss: 0
2022-07-11 10:26:04,142 - utils - INFO - epoch: 1, step: 900, eta: 00:09:05, gen loss: 1.2507057189941406, adv_loss: 0, dis loss: 0
2022-07-11 10:27:16,231 - utils - INFO - epoch: 1, step: 950, eta: 00:07:50, gen loss: 1.3528964519500732, adv_loss: 0, dis loss: 0
2022-07-11 10:28:29,220 - utils - INFO - epoch: 1, step: 1000, eta: 00:06:35, gen loss: 1.3278733491897583, adv_loss: 0, dis loss: 0
2022-07-11 10:29:41,769 - utils - INFO - epoch: 1, step: 1050, eta: 00:05:21, gen loss: 1.3926730155944824, adv_loss: 0, dis loss: 0
2022-07-11 10:30:54,691 - utils - INFO - epoch: 1, step: 1100, eta: 00:04:07, gen loss: 1.3323099613189697, adv_loss: 0, dis loss: 0
2022-07-11 10:32:07,349 - utils - INFO - epoch: 1, step: 1150, eta: 00:02:53, gen loss: 1.300779938697815, adv_loss: 0, dis loss: 0
2022-07-11 10:33:20,062 - utils - INFO - epoch: 1, step: 1200, eta: 00:01:39, gen loss: 1.3240190744400024, adv_loss: 0, dis loss: 0
2022-07-11 10:34:31,134 - utils - INFO - epoch: 1, step: 1250, eta: 00:00:25, gen loss: 1.2593491077423096, adv_loss: 0, dis loss: 0
2022-07-11 10:51:52,640 - utils - INFO - epoch: 1, loss: 1.2615001201629639, mae: 13.242578446179415, ssim: 0.8936747448522151, psnr: 23.15977000731861
2022-07-11 10:51:54,625 - utils - INFO - epoch: 2, step: 0, eta: 00:30:16, gen loss: 1.290708303451538, adv_loss: 0, dis loss: 0
2022-07-11 10:53:05,539 - utils - INFO - epoch: 2, step: 50, eta: 00:29:20, gen loss: 1.2291926145553589, adv_loss: 0, dis loss: 0
2022-07-11 10:54:16,848 - utils - INFO - epoch: 2, step: 100, eta: 00:27:56, gen loss: 1.1996302604675293, adv_loss: 0, dis loss: 0
2022-07-11 10:55:28,156 - utils - INFO - epoch: 2, step: 150, eta: 00:26:40, gen loss: 1.3487813472747803, adv_loss: 0, dis loss: 0
