2022-07-15 12:41:50,783 - utils - INFO - epoch: 1, step: 350, eta: 00:44:05, gen loss: 5.986751079559326, adv_loss: 0, dis loss: 0
2022-07-15 12:44:15,423 - utils - INFO - epoch: 1, step: 400, eta: 00:41:42, gen loss: 7.72470235824585, adv_loss: 0, dis loss: 0
2022-07-15 12:46:39,616 - utils - INFO - epoch: 1, step: 450, eta: 00:39:17, gen loss: 6.2697014808654785, adv_loss: 0, dis loss: 0
2022-07-15 12:49:04,460 - utils - INFO - epoch: 1, step: 500, eta: 00:36:54, gen loss: 6.410491943359375, adv_loss: 0, dis loss: 0
2022-07-15 12:51:29,095 - utils - INFO - epoch: 1, step: 550, eta: 00:34:30, gen loss: 7.992895603179932, adv_loss: 0, dis loss: 0
2022-07-15 12:53:53,427 - utils - INFO - epoch: 1, step: 600, eta: 00:32:05, gen loss: 5.264484405517578, adv_loss: 0, dis loss: 0
2022-07-15 12:56:17,800 - utils - INFO - epoch: 1, step: 650, eta: 00:29:41, gen loss: 6.453892230987549, adv_loss: 0, dis loss: 0
2022-07-15 12:58:42,369 - utils - INFO - epoch: 1, step: 700, eta: 00:27:17, gen loss: 4.950125694274902, adv_loss: 0, dis loss: 0
2022-07-15 13:01:09,189 - utils - INFO - epoch: 1, step: 750, eta: 00:24:54, gen loss: 6.679591178894043, adv_loss: 0, dis loss: 0
2022-07-15 13:03:38,293 - utils - INFO - epoch: 1, step: 800, eta: 00:22:32, gen loss: 6.752634048461914, adv_loss: 0, dis loss: 0
2022-07-15 13:06:07,237 - utils - INFO - epoch: 1, step: 850, eta: 00:20:09, gen loss: 6.391613483428955, adv_loss: 0, dis loss: 0
2022-07-15 13:08:36,717 - utils - INFO - epoch: 1, step: 900, eta: 00:17:46, gen loss: 5.480988025665283, adv_loss: 0, dis loss: 0
2022-07-15 13:11:06,214 - utils - INFO - epoch: 1, step: 950, eta: 00:15:22, gen loss: 6.638545989990234, adv_loss: 0, dis loss: 0
2022-07-15 13:13:35,682 - utils - INFO - epoch: 1, step: 1000, eta: 00:12:58, gen loss: 5.605737686157227, adv_loss: 0, dis loss: 0
2022-07-15 13:16:05,980 - utils - INFO - epoch: 1, step: 1050, eta: 00:10:33, gen loss: 7.487537384033203, adv_loss: 0, dis loss: 0
2022-07-15 13:18:36,445 - utils - INFO - epoch: 1, step: 1100, eta: 00:08:08, gen loss: 5.125288486480713, adv_loss: 0, dis loss: 0
2022-07-15 13:21:06,303 - utils - INFO - epoch: 1, step: 1150, eta: 00:05:42, gen loss: 6.364621639251709, adv_loss: 0, dis loss: 0
2022-07-15 13:23:36,628 - utils - INFO - epoch: 1, step: 1200, eta: 00:03:16, gen loss: 5.3064422607421875, adv_loss: 0, dis loss: 0
2022-07-15 13:26:06,054 - utils - INFO - epoch: 1, step: 1250, eta: 00:00:49, gen loss: 6.103518962860107, adv_loss: 0, dis loss: 0
2022-07-15 13:47:01,685 - utils - INFO - epoch: 1, loss: 6.337156295776367, mae: 23.554479755282454, ssim: 0.8476146750224287, psnr: 22.790956370041492
2022-07-15 13:47:06,288 - utils - INFO - epoch: 2, step: 0, eta: 01:02:25, gen loss: 6.869011402130127, adv_loss: 0, dis loss: 0
2022-07-15 13:49:33,509 - utils - INFO - epoch: 2, step: 50, eta: 01:00:55, gen loss: 5.758805274963379, adv_loss: 0, dis loss: 0
2022-07-15 13:52:01,531 - utils - INFO - epoch: 2, step: 100, eta: 00:57:59, gen loss: 6.419867515563965, adv_loss: 0, dis loss: 0
2022-07-15 13:54:29,950 - utils - INFO - epoch: 2, step: 150, eta: 00:55:25, gen loss: 6.296656131744385, adv_loss: 0, dis loss: 0
2022-07-15 13:56:57,378 - utils - INFO - epoch: 2, step: 200, eta: 00:52:49, gen loss: 4.870384216308594, adv_loss: 0, dis loss: 0
2022-07-15 13:59:24,316 - utils - INFO - epoch: 2, step: 250, eta: 00:50:14, gen loss: 5.448483467102051, adv_loss: 0, dis loss: 0
2022-07-15 14:01:51,840 - utils - INFO - epoch: 2, step: 300, eta: 00:47:43, gen loss: 5.656625270843506, adv_loss: 0, dis loss: 0
2022-07-15 14:04:19,197 - utils - INFO - epoch: 2, step: 350, eta: 00:45:13, gen loss: 5.74348258972168, adv_loss: 0, dis loss: 0
2022-07-15 14:06:46,970 - utils - INFO - epoch: 2, step: 400, eta: 00:42:45, gen loss: 4.644193172454834, adv_loss: 0, dis loss: 0
2022-07-15 14:09:15,018 - utils - INFO - epoch: 2, step: 450, eta: 00:40:17, gen loss: 6.615610122680664, adv_loss: 0, dis loss: 0
2022-07-15 14:11:42,489 - utils - INFO - epoch: 2, step: 500, eta: 00:37:49, gen loss: 5.339593410491943, adv_loss: 0, dis loss: 0
2022-07-15 14:14:10,410 - utils - INFO - epoch: 2, step: 550, eta: 00:35:21, gen loss: 5.85137939453125, adv_loss: 0, dis loss: 0
2022-07-15 14:16:38,281 - utils - INFO - epoch: 2, step: 600, eta: 00:32:53, gen loss: 5.687567234039307, adv_loss: 0, dis loss: 0
