2022-07-25 12:09:55,020 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='4', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maelossweight', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 12:57:55,673 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:23, gen loss: 7.723997592926025, mae loss: 0.9249128699302673, adv_loss: 0, dis loss: 0
2022-07-25 12:59:52,986 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:26, gen loss: 7.860207557678223, mae loss: 0.9294480085372925, adv_loss: 0, dis loss: 0
2022-07-25 13:01:50,215 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:28, gen loss: 7.6159467697143555, mae loss: 1.0835392475128174, adv_loss: 0, dis loss: 0
2022-07-25 13:03:47,716 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:31, gen loss: 7.322612762451172, mae loss: 0.27728861570358276, adv_loss: 0, dis loss: 0
2022-07-25 13:05:45,022 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:33, gen loss: 6.872173309326172, mae loss: 0.6112968325614929, adv_loss: 0, dis loss: 0
2022-07-25 13:07:42,217 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:36, gen loss: 8.0404634475708, mae loss: 1.0025215148925781, adv_loss: 0, dis loss: 0
2022-07-25 13:09:39,616 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.75883150100708, mae loss: 0.3676866292953491, adv_loss: 0, dis loss: 0
2022-07-25 13:33:02,303 - utils - INFO - epoch: 0, loss: 2.8655614852905273, mae: 10.176997171174973, ssim: 0.936356689416274, psnr: 25.41803576507327
2022-07-25 13:33:05,879 - utils - INFO - epoch: 1, step: 0, eta: 01:12:51, gen loss: 6.932812690734863, mae loss: 0.7383730411529541, adv_loss: 0, dis loss: 0
2022-07-25 13:35:03,081 - utils - INFO - epoch: 1, step: 100, eta: 00:48:13, gen loss: 5.514174938201904, mae loss: 0.21985197067260742, adv_loss: 0, dis loss: 0
2022-07-25 13:37:00,374 - utils - INFO - epoch: 1, step: 200, eta: 00:45:55, gen loss: 6.776998043060303, mae loss: 0.39708465337753296, adv_loss: 0, dis loss: 0
2022-07-25 13:38:57,723 - utils - INFO - epoch: 1, step: 300, eta: 00:43:51, gen loss: 6.207929611206055, mae loss: 0.46151214838027954, adv_loss: 0, dis loss: 0
2022-07-25 13:40:54,725 - utils - INFO - epoch: 1, step: 400, eta: 00:41:49, gen loss: 7.04664421081543, mae loss: 0.9465359449386597, adv_loss: 0, dis loss: 0
2022-07-25 13:42:51,977 - utils - INFO - epoch: 1, step: 500, eta: 00:39:50, gen loss: 5.482086658477783, mae loss: 0.4401930272579193, adv_loss: 0, dis loss: 0
2022-07-25 13:44:49,253 - utils - INFO - epoch: 1, step: 600, eta: 00:37:51, gen loss: 5.060562610626221, mae loss: 0.4099663197994232, adv_loss: 0, dis loss: 0
2022-07-25 13:46:46,541 - utils - INFO - epoch: 1, step: 700, eta: 00:35:53, gen loss: 6.495236873626709, mae loss: 0.9007868766784668, adv_loss: 0, dis loss: 0
2022-07-25 13:48:43,916 - utils - INFO - epoch: 1, step: 800, eta: 00:33:55, gen loss: 6.653585910797119, mae loss: 0.9420462846755981, adv_loss: 0, dis loss: 0
2022-07-25 13:50:41,130 - utils - INFO - epoch: 1, step: 900, eta: 00:31:57, gen loss: 6.753232002258301, mae loss: 1.116323709487915, adv_loss: 0, dis loss: 0
2022-07-25 13:52:38,480 - utils - INFO - epoch: 1, step: 1000, eta: 00:30:00, gen loss: 5.649140357971191, mae loss: 0.5124555826187134, adv_loss: 0, dis loss: 0
2022-07-25 13:54:35,710 - utils - INFO - epoch: 1, step: 1100, eta: 00:28:02, gen loss: 5.05985164642334, mae loss: 0.2401115596294403, adv_loss: 0, dis loss: 0
2022-07-25 13:56:33,237 - utils - INFO - epoch: 1, step: 1200, eta: 00:26:05, gen loss: 5.347813606262207, mae loss: 0.32332396507263184, adv_loss: 0, dis loss: 0
2022-07-25 13:58:30,468 - utils - INFO - epoch: 1, step: 1300, eta: 00:24:07, gen loss: 5.230921268463135, mae loss: 0.2099626660346985, adv_loss: 0, dis loss: 0
2022-07-25 14:00:27,681 - utils - INFO - epoch: 1, step: 1400, eta: 00:22:10, gen loss: 4.972260475158691, mae loss: 0.46494215726852417, adv_loss: 0, dis loss: 0
2022-07-25 14:02:24,967 - utils - INFO - epoch: 1, step: 1500, eta: 00:20:12, gen loss: 4.853739261627197, mae loss: 0.23154066503047943, adv_loss: 0, dis loss: 0
2022-07-25 14:04:22,358 - utils - INFO - epoch: 1, step: 1600, eta: 00:18:15, gen loss: 5.798789024353027, mae loss: 0.8250513076782227, adv_loss: 0, dis loss: 0
2022-07-25 14:06:19,849 - utils - INFO - epoch: 1, step: 1700, eta: 00:16:17, gen loss: 6.936234474182129, mae loss: 1.2041218280792236, adv_loss: 0, dis loss: 0
2022-07-25 14:08:17,067 - utils - INFO - epoch: 1, step: 1800, eta: 00:14:20, gen loss: 4.405506134033203, mae loss: 0.2454647272825241, adv_loss: 0, dis loss: 0
2022-07-25 14:10:14,372 - utils - INFO - epoch: 1, step: 1900, eta: 00:12:23, gen loss: 4.678028106689453, mae loss: 0.3741050362586975, adv_loss: 0, dis loss: 0
2022-07-25 14:12:11,777 - utils - INFO - epoch: 1, step: 2000, eta: 00:10:25, gen loss: 5.176065444946289, mae loss: 0.7715119123458862, adv_loss: 0, dis loss: 0
2022-07-25 14:14:09,181 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:28, gen loss: 4.577901840209961, mae loss: 0.5792429447174072, adv_loss: 0, dis loss: 0
2022-07-25 14:16:06,454 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:30, gen loss: 4.446547508239746, mae loss: 0.17410461604595184, adv_loss: 0, dis loss: 0
2022-07-25 14:18:03,665 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:33, gen loss: 4.100851535797119, mae loss: 0.4120688736438751, adv_loss: 0, dis loss: 0
2022-07-25 14:20:01,133 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:36, gen loss: 5.13899564743042, mae loss: 0.5102083086967468, adv_loss: 0, dis loss: 0
2022-07-25 14:21:58,726 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:38, gen loss: 4.437105178833008, mae loss: 0.25444796681404114, adv_loss: 0, dis loss: 0
2022-07-25 14:45:13,445 - utils - INFO - epoch: 1, loss: 2.193997383117676, mae: 8.16348460559338, ssim: 0.9529923499148918, psnr: 26.830748147282502
2022-07-25 14:45:17,005 - utils - INFO - epoch: 2, step: 0, eta: 01:15:45, gen loss: 4.9268999099731445, mae loss: 0.5953348875045776, adv_loss: 0, dis loss: 0
2022-07-25 14:47:14,061 - utils - INFO - epoch: 2, step: 100, eta: 00:48:11, gen loss: 7.452454566955566, mae loss: 1.7868891954421997, adv_loss: 0, dis loss: 0
2022-07-25 14:49:11,297 - utils - INFO - epoch: 2, step: 200, eta: 00:45:53, gen loss: 4.1504034996032715, mae loss: 0.38112542033195496, adv_loss: 0, dis loss: 0
2022-07-25 14:51:08,855 - utils - INFO - epoch: 2, step: 300, eta: 00:43:52, gen loss: 4.276888370513916, mae loss: 0.3459073305130005, adv_loss: 0, dis loss: 0
2022-07-25 14:53:06,181 - utils - INFO - epoch: 2, step: 400, eta: 00:41:51, gen loss: 5.033369064331055, mae loss: 0.843772828578949, adv_loss: 0, dis loss: 0
2022-07-25 14:55:03,644 - utils - INFO - epoch: 2, step: 500, eta: 00:39:52, gen loss: 5.290356636047363, mae loss: 1.0298473834991455, adv_loss: 0, dis loss: 0
2022-07-25 14:57:00,997 - utils - INFO - epoch: 2, step: 600, eta: 00:37:53, gen loss: 4.671266078948975, mae loss: 0.21100983023643494, adv_loss: 0, dis loss: 0
2022-07-25 14:58:58,437 - utils - INFO - epoch: 2, step: 700, eta: 00:35:55, gen loss: 5.40366792678833, mae loss: 1.2090753316879272, adv_loss: 0, dis loss: 0
2022-07-25 15:00:55,886 - utils - INFO - epoch: 2, step: 800, eta: 00:33:57, gen loss: 6.661296844482422, mae loss: 1.4765572547912598, adv_loss: 0, dis loss: 0
2022-07-25 15:02:53,379 - utils - INFO - epoch: 2, step: 900, eta: 00:31:59, gen loss: 3.471163272857666, mae loss: 0.12594082951545715, adv_loss: 0, dis loss: 0
2022-07-25 15:04:50,870 - utils - INFO - epoch: 2, step: 1000, eta: 00:30:02, gen loss: 4.191030979156494, mae loss: 0.3246193826198578, adv_loss: 0, dis loss: 0
2022-07-25 15:06:48,169 - utils - INFO - epoch: 2, step: 1100, eta: 00:28:04, gen loss: 5.516768455505371, mae loss: 1.1740527153015137, adv_loss: 0, dis loss: 0
2022-07-25 15:08:45,503 - utils - INFO - epoch: 2, step: 1200, eta: 00:26:06, gen loss: 4.134052753448486, mae loss: 0.7036314010620117, adv_loss: 0, dis loss: 0
2022-07-25 15:10:42,834 - utils - INFO - epoch: 2, step: 1300, eta: 00:24:08, gen loss: 3.907763719558716, mae loss: 0.3505522608757019, adv_loss: 0, dis loss: 0
2022-07-25 15:12:40,316 - utils - INFO - epoch: 2, step: 1400, eta: 00:22:11, gen loss: 4.069984436035156, mae loss: 0.48083701729774475, adv_loss: 0, dis loss: 0
