2022-07-27 09:13:46,878 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=256, depth=6, device_ids='1', embed_dim=256, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', num_workers=4, output_dir='./output/logs', patch_size=8, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 09:20:31,388 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=256, decoder_num_heads=12, depth=6, device_ids='1', embed_dim=256, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_pyramid', num_heads=4, num_workers=4, output_dir='./output/logs', patch_size=8, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=True, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-27 09:55:10,649 - utils - INFO - epoch: 0, step: 1800, eta: 00:12:50, gen loss: 11.598994255065918, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:56:55,098 - utils - INFO - epoch: 0, step: 1900, eta: 00:11:05, gen loss: 12.128387451171875, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 09:58:39,592 - utils - INFO - epoch: 0, step: 2000, eta: 00:09:19, gen loss: 11.893211364746094, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:00:24,134 - utils - INFO - epoch: 0, step: 2100, eta: 00:07:34, gen loss: 12.23764419555664, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:02:08,818 - utils - INFO - epoch: 0, step: 2200, eta: 00:05:49, gen loss: 12.968716621398926, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:03:53,594 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:04, gen loss: 10.84913444519043, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:05:38,351 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:19, gen loss: 13.491909980773926, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:07:23,143 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:34, gen loss: 14.063387870788574, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:29:13,947 - utils - INFO - epoch: 0, loss: 5.775850772857666, mae: 15.990446287344305, ssim: 0.8434078424786019, psnr: 21.377471473803283
2022-07-27 10:29:16,657 - utils - INFO - epoch: 1, step: 0, eta: 01:09:48, gen loss: 11.493223190307617, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:31:01,143 - utils - INFO - epoch: 1, step: 100, eta: 00:43:02, gen loss: 12.363398551940918, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:32:46,185 - utils - INFO - epoch: 1, step: 200, eta: 00:41:03, gen loss: 9.845762252807617, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:34:31,088 - utils - INFO - epoch: 1, step: 300, eta: 00:39:12, gen loss: 11.736085891723633, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:36:15,996 - utils - INFO - epoch: 1, step: 400, eta: 00:37:24, gen loss: 10.47606372833252, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:38:00,887 - utils - INFO - epoch: 1, step: 500, eta: 00:35:38, gen loss: 12.160508155822754, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:39:45,853 - utils - INFO - epoch: 1, step: 600, eta: 00:33:52, gen loss: 11.097833633422852, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:41:30,891 - utils - INFO - epoch: 1, step: 700, eta: 00:32:06, gen loss: 11.283695220947266, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:43:15,731 - utils - INFO - epoch: 1, step: 800, eta: 00:30:21, gen loss: 9.884639739990234, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-27 10:45:00,729 - utils - INFO - epoch: 1, step: 900, eta: 00:28:35, gen loss: 10.103248596191406, mae loss: 0, adv_loss: 0, dis loss: 0
