2022-07-25 09:51:33,417 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 09:52:07,084 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='1', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 10:38:40,319 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:34, gen loss: 7.514525413513184, mae loss: 0.7611922025680542, adv_loss: 0, dis loss: 0
2022-07-25 10:40:35,379 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.981562614440918, mae loss: 0.6897339224815369, adv_loss: 0, dis loss: 0
2022-07-25 11:02:39,146 - utils - INFO - epoch: 0, loss: 2.862736940383911, mae: 9.92899876278867, ssim: 0.9346073553174306, psnr: 25.496073394350617
2022-07-25 11:02:42,798 - utils - INFO - epoch: 1, step: 0, eta: 01:16:12, gen loss: 7.006982326507568, mae loss: 0.8853222131729126, adv_loss: 0, dis loss: 0
2022-07-25 11:04:38,280 - utils - INFO - epoch: 1, step: 100, eta: 00:47:33, gen loss: 6.163387775421143, mae loss: 0.6465473771095276, adv_loss: 0, dis loss: 0
2022-07-25 11:06:34,287 - utils - INFO - epoch: 1, step: 200, eta: 00:45:21, gen loss: 6.932429790496826, mae loss: 0.7574352025985718, adv_loss: 0, dis loss: 0
2022-07-25 11:08:30,513 - utils - INFO - epoch: 1, step: 300, eta: 00:43:21, gen loss: 6.484612464904785, mae loss: 0.7858994007110596, adv_loss: 0, dis loss: 0
2022-07-25 11:10:26,510 - utils - INFO - epoch: 1, step: 400, eta: 00:41:22, gen loss: 6.556550979614258, mae loss: 0.7492374181747437, adv_loss: 0, dis loss: 0
2022-07-25 11:12:22,692 - utils - INFO - epoch: 1, step: 500, eta: 00:39:25, gen loss: 5.70574951171875, mae loss: 0.7633044719696045, adv_loss: 0, dis loss: 0
2022-07-25 11:14:18,971 - utils - INFO - epoch: 1, step: 600, eta: 00:37:28, gen loss: 5.336756229400635, mae loss: 0.6646199226379395, adv_loss: 0, dis loss: 0
2022-07-25 11:16:14,794 - utils - INFO - epoch: 1, step: 700, eta: 00:35:30, gen loss: 6.16128396987915, mae loss: 0.8385586738586426, adv_loss: 0, dis loss: 0
2022-07-25 11:18:10,440 - utils - INFO - epoch: 1, step: 800, eta: 00:33:33, gen loss: 6.294983386993408, mae loss: 0.7983347773551941, adv_loss: 0, dis loss: 0
2022-07-25 11:20:06,083 - utils - INFO - epoch: 1, step: 900, eta: 00:31:36, gen loss: 6.1567816734313965, mae loss: 0.7526184320449829, adv_loss: 0, dis loss: 0
2022-07-25 11:22:01,844 - utils - INFO - epoch: 1, step: 1000, eta: 00:29:39, gen loss: 5.657161712646484, mae loss: 0.705855131149292, adv_loss: 0, dis loss: 0
2022-07-25 11:23:57,577 - utils - INFO - epoch: 1, step: 1100, eta: 00:27:43, gen loss: 5.45456075668335, mae loss: 0.7786556482315063, adv_loss: 0, dis loss: 0
2022-07-25 11:25:53,411 - utils - INFO - epoch: 1, step: 1200, eta: 00:25:46, gen loss: 5.553343772888184, mae loss: 0.6432331800460815, adv_loss: 0, dis loss: 0
2022-07-25 11:27:49,126 - utils - INFO - epoch: 1, step: 1300, eta: 00:23:50, gen loss: 5.664638519287109, mae loss: 0.7596530914306641, adv_loss: 0, dis loss: 0
2022-07-25 11:29:44,827 - utils - INFO - epoch: 1, step: 1400, eta: 00:21:54, gen loss: 5.224664211273193, mae loss: 0.7678184509277344, adv_loss: 0, dis loss: 0
2022-07-25 11:31:40,620 - utils - INFO - epoch: 1, step: 1500, eta: 00:19:58, gen loss: 5.232265949249268, mae loss: 0.7319308519363403, adv_loss: 0, dis loss: 0
2022-07-25 11:33:36,358 - utils - INFO - epoch: 1, step: 1600, eta: 00:18:01, gen loss: 5.573847770690918, mae loss: 0.7723968625068665, adv_loss: 0, dis loss: 0
2022-07-25 11:35:32,155 - utils - INFO - epoch: 1, step: 1700, eta: 00:16:05, gen loss: 6.167520046234131, mae loss: 0.8063690066337585, adv_loss: 0, dis loss: 0
2022-07-25 11:37:27,586 - utils - INFO - epoch: 1, step: 1800, eta: 00:14:09, gen loss: 4.551942825317383, mae loss: 0.7371599674224854, adv_loss: 0, dis loss: 0
2022-07-25 11:39:22,830 - utils - INFO - epoch: 1, step: 1900, eta: 00:12:13, gen loss: 4.889620780944824, mae loss: 0.7870519161224365, adv_loss: 0, dis loss: 0
2022-07-25 11:41:18,069 - utils - INFO - epoch: 1, step: 2000, eta: 00:10:17, gen loss: 4.994394302368164, mae loss: 0.7246087193489075, adv_loss: 0, dis loss: 0
2022-07-25 11:43:13,135 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:21, gen loss: 4.537764549255371, mae loss: 0.6632872819900513, adv_loss: 0, dis loss: 0
2022-07-25 11:45:08,301 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:25, gen loss: 4.774285316467285, mae loss: 0.7367278337478638, adv_loss: 0, dis loss: 0
2022-07-25 11:47:03,430 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:29, gen loss: 4.2457709312438965, mae loss: 0.6218786239624023, adv_loss: 0, dis loss: 0
2022-07-25 11:48:58,576 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:33, gen loss: 5.237399101257324, mae loss: 0.6736935377120972, adv_loss: 0, dis loss: 0
2022-07-25 11:50:53,787 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:38, gen loss: 4.72655725479126, mae loss: 0.668988823890686, adv_loss: 0, dis loss: 0
2022-07-25 12:12:47,752 - utils - INFO - epoch: 1, loss: 2.0618202686309814, mae: 8.095655536506232, ssim: 0.9532255092772454, psnr: 27.038470443034896
2022-07-25 12:12:51,724 - utils - INFO - epoch: 2, step: 0, eta: 01:18:57, gen loss: 4.907341957092285, mae loss: 0.7629530429840088, adv_loss: 0, dis loss: 0
2022-07-25 12:14:47,120 - utils - INFO - epoch: 2, step: 100, eta: 00:47:33, gen loss: 5.848365783691406, mae loss: 0.9424802660942078, adv_loss: 0, dis loss: 0
2022-07-25 12:16:43,299 - utils - INFO - epoch: 2, step: 200, eta: 00:45:23, gen loss: 4.315280437469482, mae loss: 0.6897245049476624, adv_loss: 0, dis loss: 0
2022-07-25 12:18:25,955 - utils - INFO - Namespace(batchsize=64, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, depth=6, device_ids='1', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_maeloss', num_workers=4, output_dir='./output/logs', patch_size=14, phase='train', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=True, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks', valid_weight=1.0, warmup_steps=1000)
2022-07-25 12:18:44,180 - utils - INFO - epoch: 0, step: 0, eta: 04:11:04, gen loss: 118.1169204711914, mae loss: 2.8623547554016113, adv_loss: 0, dis loss: 0
2022-07-25 12:20:39,803 - utils - INFO - epoch: 0, step: 100, eta: 00:49:17, gen loss: 24.92676544189453, mae loss: 0.45484572649002075, adv_loss: 0, dis loss: 0
2022-07-25 12:22:35,917 - utils - INFO - epoch: 0, step: 200, eta: 00:46:12, gen loss: 17.074155807495117, mae loss: 0.19464167952537537, adv_loss: 0, dis loss: 0
2022-07-25 12:24:32,238 - utils - INFO - epoch: 0, step: 300, eta: 00:43:54, gen loss: 17.999181747436523, mae loss: 0.25107741355895996, adv_loss: 0, dis loss: 0
2022-07-25 12:26:28,454 - utils - INFO - epoch: 0, step: 400, eta: 00:41:47, gen loss: 15.510336875915527, mae loss: 0.14361077547073364, adv_loss: 0, dis loss: 0
2022-07-25 12:28:24,604 - utils - INFO - epoch: 0, step: 500, eta: 00:39:44, gen loss: 15.813858985900879, mae loss: 0.2138223946094513, adv_loss: 0, dis loss: 0
2022-07-25 12:30:20,645 - utils - INFO - epoch: 0, step: 600, eta: 00:37:42, gen loss: 13.123967170715332, mae loss: 0.13576596975326538, adv_loss: 0, dis loss: 0
2022-07-25 12:32:16,736 - utils - INFO - epoch: 0, step: 700, eta: 00:35:43, gen loss: 11.335432052612305, mae loss: 0.1373618245124817, adv_loss: 0, dis loss: 0
2022-07-25 12:34:12,629 - utils - INFO - epoch: 0, step: 800, eta: 00:33:44, gen loss: 11.389056205749512, mae loss: 0.09189394861459732, adv_loss: 0, dis loss: 0
2022-07-25 12:36:08,676 - utils - INFO - epoch: 0, step: 900, eta: 00:31:45, gen loss: 9.443663597106934, mae loss: 0.09510105103254318, adv_loss: 0, dis loss: 0
2022-07-25 12:38:04,673 - utils - INFO - epoch: 0, step: 1000, eta: 00:29:48, gen loss: 9.883947372436523, mae loss: 0.12066308408975601, adv_loss: 0, dis loss: 0
2022-07-25 12:40:00,734 - utils - INFO - epoch: 0, step: 1100, eta: 00:27:50, gen loss: 9.747164726257324, mae loss: 0.08038151264190674, adv_loss: 0, dis loss: 0
2022-07-25 12:41:56,925 - utils - INFO - epoch: 0, step: 1200, eta: 00:25:53, gen loss: 10.115373611450195, mae loss: 0.16350990533828735, adv_loss: 0, dis loss: 0
2022-07-25 12:43:53,037 - utils - INFO - epoch: 0, step: 1300, eta: 00:23:56, gen loss: 8.158180236816406, mae loss: 0.09003450721502304, adv_loss: 0, dis loss: 0
2022-07-25 12:45:49,081 - utils - INFO - epoch: 0, step: 1400, eta: 00:21:59, gen loss: 8.515746116638184, mae loss: 0.11947305500507355, adv_loss: 0, dis loss: 0
2022-07-25 12:47:44,771 - utils - INFO - epoch: 0, step: 1500, eta: 00:20:02, gen loss: 9.131253242492676, mae loss: 0.10175831615924835, adv_loss: 0, dis loss: 0
2022-07-25 12:49:40,244 - utils - INFO - epoch: 0, step: 1600, eta: 00:18:05, gen loss: 8.4481201171875, mae loss: 0.056168053299188614, adv_loss: 0, dis loss: 0
2022-07-25 12:51:35,602 - utils - INFO - epoch: 0, step: 1700, eta: 00:16:08, gen loss: 7.421802520751953, mae loss: 0.07856421917676926, adv_loss: 0, dis loss: 0
2022-07-25 12:53:30,959 - utils - INFO - epoch: 0, step: 1800, eta: 00:14:12, gen loss: 6.9016804695129395, mae loss: 0.09224582463502884, adv_loss: 0, dis loss: 0
2022-07-25 12:55:26,346 - utils - INFO - epoch: 0, step: 1900, eta: 00:12:15, gen loss: 6.87858247756958, mae loss: 0.11485031247138977, adv_loss: 0, dis loss: 0
2022-07-25 12:57:21,640 - utils - INFO - epoch: 0, step: 2000, eta: 00:10:19, gen loss: 7.06434965133667, mae loss: 0.12093788385391235, adv_loss: 0, dis loss: 0
2022-07-25 12:59:16,891 - utils - INFO - epoch: 0, step: 2100, eta: 00:08:22, gen loss: 6.693331718444824, mae loss: 0.13984718918800354, adv_loss: 0, dis loss: 0
2022-07-25 13:01:12,303 - utils - INFO - epoch: 0, step: 2200, eta: 00:06:26, gen loss: 7.333343982696533, mae loss: 0.051766663789749146, adv_loss: 0, dis loss: 0
2022-07-25 13:03:07,666 - utils - INFO - epoch: 0, step: 2300, eta: 00:04:30, gen loss: 6.080097675323486, mae loss: 0.0824178159236908, adv_loss: 0, dis loss: 0
2022-07-25 13:05:02,988 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:34, gen loss: 6.882577419281006, mae loss: 0.12925177812576294, adv_loss: 0, dis loss: 0
2022-07-25 13:06:58,280 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:38, gen loss: 6.350971221923828, mae loss: 0.05914294719696045, adv_loss: 0, dis loss: 0
2022-07-25 13:30:13,704 - utils - INFO - epoch: 0, loss: 2.862739324569702, mae: 9.929013845433216, ssim: 0.9346072966696592, psnr: 25.49606720123219
2022-07-25 13:30:17,729 - utils - INFO - epoch: 1, step: 0, eta: 01:15:52, gen loss: 6.213798522949219, mae loss: 0.0921345055103302, adv_loss: 0, dis loss: 0
2022-07-25 13:32:13,463 - utils - INFO - epoch: 1, step: 100, eta: 00:47:39, gen loss: 5.560478687286377, mae loss: 0.04363129287958145, adv_loss: 0, dis loss: 0
2022-07-25 13:34:09,694 - utils - INFO - epoch: 1, step: 200, eta: 00:45:26, gen loss: 6.235414505004883, mae loss: 0.06042362004518509, adv_loss: 0, dis loss: 0
2022-07-25 13:36:05,932 - utils - INFO - epoch: 1, step: 300, eta: 00:43:25, gen loss: 5.767007827758789, mae loss: 0.06829850375652313, adv_loss: 0, dis loss: 0
2022-07-25 13:38:01,827 - utils - INFO - epoch: 1, step: 400, eta: 00:41:24, gen loss: 5.930768966674805, mae loss: 0.12345841526985168, adv_loss: 0, dis loss: 0
2022-07-25 13:39:57,885 - utils - INFO - epoch: 1, step: 500, eta: 00:39:26, gen loss: 5.007962703704834, mae loss: 0.06551864743232727, adv_loss: 0, dis loss: 0
2022-07-25 13:41:53,998 - utils - INFO - epoch: 1, step: 600, eta: 00:37:28, gen loss: 4.731753826141357, mae loss: 0.059620145708322525, adv_loss: 0, dis loss: 0
2022-07-25 13:43:50,047 - utils - INFO - epoch: 1, step: 700, eta: 00:35:31, gen loss: 5.440892696380615, mae loss: 0.11817031353712082, adv_loss: 0, dis loss: 0
2022-07-25 13:45:46,113 - utils - INFO - epoch: 1, step: 800, eta: 00:33:35, gen loss: 5.616922378540039, mae loss: 0.12027628719806671, adv_loss: 0, dis loss: 0
2022-07-25 13:47:42,097 - utils - INFO - epoch: 1, step: 900, eta: 00:31:38, gen loss: 5.527341365814209, mae loss: 0.12318351864814758, adv_loss: 0, dis loss: 0
2022-07-25 13:49:38,163 - utils - INFO - epoch: 1, step: 1000, eta: 00:29:41, gen loss: 5.020016193389893, mae loss: 0.06871698051691055, adv_loss: 0, dis loss: 0
2022-07-25 13:51:34,141 - utils - INFO - epoch: 1, step: 1100, eta: 00:27:45, gen loss: 4.716890811920166, mae loss: 0.04098668694496155, adv_loss: 0, dis loss: 0
2022-07-25 13:53:30,262 - utils - INFO - epoch: 1, step: 1200, eta: 00:25:48, gen loss: 4.958884239196777, mae loss: 0.04876919463276863, adv_loss: 0, dis loss: 0
2022-07-25 13:55:26,186 - utils - INFO - epoch: 1, step: 1300, eta: 00:23:52, gen loss: 4.942193984985352, mae loss: 0.0372009351849556, adv_loss: 0, dis loss: 0
2022-07-25 13:57:22,111 - utils - INFO - epoch: 1, step: 1400, eta: 00:21:56, gen loss: 4.520064830780029, mae loss: 0.06322239339351654, adv_loss: 0, dis loss: 0
2022-07-25 13:59:17,727 - utils - INFO - epoch: 1, step: 1500, eta: 00:19:59, gen loss: 4.538852691650391, mae loss: 0.03851998597383499, adv_loss: 0, dis loss: 0
2022-07-25 14:01:13,223 - utils - INFO - epoch: 1, step: 1600, eta: 00:18:03, gen loss: 4.905856609344482, mae loss: 0.10440339148044586, adv_loss: 0, dis loss: 0
2022-07-25 14:03:08,635 - utils - INFO - epoch: 1, step: 1700, eta: 00:16:06, gen loss: 5.507805824279785, mae loss: 0.1466650366783142, adv_loss: 0, dis loss: 0
2022-07-25 14:05:03,995 - utils - INFO - epoch: 1, step: 1800, eta: 00:14:10, gen loss: 3.8535611629486084, mae loss: 0.03877907991409302, adv_loss: 0, dis loss: 0
2022-07-25 14:06:59,484 - utils - INFO - epoch: 1, step: 1900, eta: 00:12:14, gen loss: 4.160350322723389, mae loss: 0.057782769203186035, adv_loss: 0, dis loss: 0
2022-07-25 14:08:54,889 - utils - INFO - epoch: 1, step: 2000, eta: 00:10:18, gen loss: 4.361528396606445, mae loss: 0.09174540638923645, adv_loss: 0, dis loss: 0
2022-07-25 14:10:50,247 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:21, gen loss: 3.951033115386963, mae loss: 0.07655573636293411, adv_loss: 0, dis loss: 0
2022-07-25 14:12:45,709 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:25, gen loss: 4.065952777862549, mae loss: 0.028390390798449516, adv_loss: 0, dis loss: 0
2022-07-25 14:14:41,107 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:29, gen loss: 3.674269676208496, mae loss: 0.05038907751441002, adv_loss: 0, dis loss: 0
2022-07-25 14:16:36,626 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:34, gen loss: 4.636126518249512, mae loss: 0.07242584228515625, adv_loss: 0, dis loss: 0
2022-07-25 14:18:32,108 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:38, gen loss: 4.095272541046143, mae loss: 0.03770340234041214, adv_loss: 0, dis loss: 0
2022-07-25 14:41:34,760 - utils - INFO - epoch: 1, loss: 2.0618185997009277, mae: 8.095651898440229, ssim: 0.9532255479733641, psnr: 27.038473350926147
2022-07-25 14:41:38,691 - utils - INFO - epoch: 2, step: 0, eta: 01:16:09, gen loss: 4.228404521942139, mae loss: 0.08401834964752197, adv_loss: 0, dis loss: 0
2022-07-25 14:43:34,472 - utils - INFO - epoch: 2, step: 100, eta: 00:47:40, gen loss: 5.116050720214844, mae loss: 0.21016791462898254, adv_loss: 0, dis loss: 0
2022-07-25 14:45:30,863 - utils - INFO - epoch: 2, step: 200, eta: 00:45:29, gen loss: 3.678903341293335, mae loss: 0.05335019528865814, adv_loss: 0, dis loss: 0
2022-07-25 14:47:27,219 - utils - INFO - epoch: 2, step: 300, eta: 00:43:27, gen loss: 3.862630605697632, mae loss: 0.052627891302108765, adv_loss: 0, dis loss: 0
2022-07-25 14:49:23,146 - utils - INFO - epoch: 2, step: 400, eta: 00:41:26, gen loss: 3.941000461578369, mae loss: 0.10377204418182373, adv_loss: 0, dis loss: 0
2022-07-25 14:51:19,192 - utils - INFO - epoch: 2, step: 500, eta: 00:39:27, gen loss: 4.102787017822266, mae loss: 0.12398545444011688, adv_loss: 0, dis loss: 0
2022-07-25 14:53:15,288 - utils - INFO - epoch: 2, step: 600, eta: 00:37:30, gen loss: 4.375374794006348, mae loss: 0.036442868411540985, adv_loss: 0, dis loss: 0
2022-07-25 14:55:11,340 - utils - INFO - epoch: 2, step: 700, eta: 00:35:32, gen loss: 4.05359411239624, mae loss: 0.14746026694774628, adv_loss: 0, dis loss: 0
2022-07-25 14:57:07,494 - utils - INFO - epoch: 2, step: 800, eta: 00:33:35, gen loss: 4.757565975189209, mae loss: 0.17009788751602173, adv_loss: 0, dis loss: 0
2022-07-25 14:59:03,615 - utils - INFO - epoch: 2, step: 900, eta: 00:31:39, gen loss: 3.1977877616882324, mae loss: 0.028089603409171104, adv_loss: 0, dis loss: 0
2022-07-25 15:00:59,623 - utils - INFO - epoch: 2, step: 1000, eta: 00:29:42, gen loss: 3.7286720275878906, mae loss: 0.045583564788103104, adv_loss: 0, dis loss: 0
2022-07-25 15:02:55,646 - utils - INFO - epoch: 2, step: 1100, eta: 00:27:45, gen loss: 4.043285369873047, mae loss: 0.14144021272659302, adv_loss: 0, dis loss: 0
2022-07-25 15:04:51,715 - utils - INFO - epoch: 2, step: 1200, eta: 00:25:49, gen loss: 3.366107225418091, mae loss: 0.09179991483688354, adv_loss: 0, dis loss: 0
2022-07-25 15:06:47,814 - utils - INFO - epoch: 2, step: 1300, eta: 00:23:53, gen loss: 3.4209187030792236, mae loss: 0.04852095618844032, adv_loss: 0, dis loss: 0
2022-07-25 15:08:43,857 - utils - INFO - epoch: 2, step: 1400, eta: 00:21:56, gen loss: 3.455225706100464, mae loss: 0.06350843608379364, adv_loss: 0, dis loss: 0
2022-07-25 15:10:39,608 - utils - INFO - epoch: 2, step: 1500, eta: 00:20:00, gen loss: 4.468687534332275, mae loss: 0.1703018695116043, adv_loss: 0, dis loss: 0
