2022-07-30 08:39:25,149 - utils - INFO - Namespace(batchsize=128, checkpoint='', decoder_arch='multiscale_transformer', decoder_depth=12, decoder_embed_dim=768, decoder_num_heads=8, depth=6, device_ids='0', embed_dim=768, epochs=30, flag='mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', fpn_type='1d', hole_weight=6.0, kv_downsample_layers='[]', lr=5e-05, mae_hole_weight=1, mae_valid_weight=0, model_save_path='./saved_models/mae_multiscale_external_fpn1d_interpolate_normpred_poolfirst', num_heads=12, num_workers=8, output_dir='./output/logs', patch_size=14, phase='train', pool_pos='first', pool_type='interpolate', prefetch=6, q_downsample_layers='[4, 8]', schedule_type='', seed=42, train_data_path='../data/celeba_train_data.txt', train_mask_path='../data/train_masks', use_adv=False, use_external_mask=True, use_fpn_loss=True, use_mae_loss=False, use_norm_pred=True, use_pconv=False, use_pyramid=False, use_random_mask=False, val_data_path='../data/celeba_val_data.txt', val_mask_path='../data/val_masks_5_6', valid_weight=1.0, warmup_steps=1000)
2022-07-30 09:30:54,022 - utils - INFO - epoch: 0, step: 2400, eta: 00:02:44, gen loss: 5.9366326332092285, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:32:57,768 - utils - INFO - epoch: 0, step: 2500, eta: 00:00:40, gen loss: 6.516885757446289, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:54:15,306 - utils - INFO - epoch: 0, loss: 1.5517749786376953, mae: 9.765528654699718, ssim: 0.9391061233498501, psnr: 25.74560688647944
2022-07-30 09:54:22,042 - utils - INFO - epoch: 1, step: 0, eta: 02:51:30, gen loss: 5.922942161560059, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:56:25,089 - utils - INFO - epoch: 1, step: 100, eta: 00:51:32, gen loss: 4.926020622253418, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 09:58:28,612 - utils - INFO - epoch: 1, step: 200, eta: 00:48:43, gen loss: 6.528662204742432, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:00:32,390 - utils - INFO - epoch: 1, step: 300, eta: 00:46:26, gen loss: 4.883920669555664, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:02:36,293 - utils - INFO - epoch: 1, step: 400, eta: 00:44:17, gen loss: 5.291101455688477, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:04:40,116 - utils - INFO - epoch: 1, step: 500, eta: 00:42:09, gen loss: 5.970696449279785, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:06:43,739 - utils - INFO - epoch: 1, step: 600, eta: 00:40:02, gen loss: 5.154677867889404, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:08:47,560 - utils - INFO - epoch: 1, step: 700, eta: 00:37:57, gen loss: 5.067479133605957, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:10:51,400 - utils - INFO - epoch: 1, step: 800, eta: 00:35:51, gen loss: 4.859819412231445, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:12:55,101 - utils - INFO - epoch: 1, step: 900, eta: 00:33:46, gen loss: 4.788166046142578, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:14:58,935 - utils - INFO - epoch: 1, step: 1000, eta: 00:31:42, gen loss: 4.751558303833008, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:17:02,769 - utils - INFO - epoch: 1, step: 1100, eta: 00:29:37, gen loss: 5.4668707847595215, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:19:06,601 - utils - INFO - epoch: 1, step: 1200, eta: 00:27:33, gen loss: 6.162178039550781, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:21:10,316 - utils - INFO - epoch: 1, step: 1300, eta: 00:25:29, gen loss: 4.579510688781738, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:23:14,223 - utils - INFO - epoch: 1, step: 1400, eta: 00:23:25, gen loss: 5.534937858581543, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:25:18,034 - utils - INFO - epoch: 1, step: 1500, eta: 00:21:20, gen loss: 3.949985980987549, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:27:21,834 - utils - INFO - epoch: 1, step: 1600, eta: 00:19:16, gen loss: 4.77545690536499, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:29:25,668 - utils - INFO - epoch: 1, step: 1700, eta: 00:17:12, gen loss: 4.354925632476807, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:31:29,465 - utils - INFO - epoch: 1, step: 1800, eta: 00:15:08, gen loss: 4.6850738525390625, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:33:33,491 - utils - INFO - epoch: 1, step: 1900, eta: 00:13:04, gen loss: 4.766162872314453, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:35:37,433 - utils - INFO - epoch: 1, step: 2000, eta: 00:11:00, gen loss: 4.502081394195557, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:37:41,380 - utils - INFO - epoch: 1, step: 2100, eta: 00:08:56, gen loss: 4.39153528213501, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:39:45,305 - utils - INFO - epoch: 1, step: 2200, eta: 00:06:52, gen loss: 4.155838966369629, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:41:49,173 - utils - INFO - epoch: 1, step: 2300, eta: 00:04:48, gen loss: 4.047644138336182, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:43:53,257 - utils - INFO - epoch: 1, step: 2400, eta: 00:02:44, gen loss: 4.6443562507629395, mae loss: 0, adv_loss: 0, dis loss: 0
2022-07-30 10:45:57,237 - utils - INFO - epoch: 1, step: 2500, eta: 00:00:40, gen loss: 4.041384696960449, mae loss: 0, adv_loss: 0, dis loss: 0
